dataset,model,framework,metric,metric_score,count,latency
mmmu,claude-sonnet-4,RAGAS,llm_judge,0.3,10,23.228
mmmu,gemini-2.5-pro,Arize,faithfulness,0.75,10,1.464
mmmu,gemini-2.5-pro,Arize,llm_judge,0.8,10,1.464
mmmu,gemini-2.5-pro,DeepEval,faithfulness,0.9567,10,14.666
mmmu,gemini-2.5-pro,DeepEval,llm_judge,0.8,10,14.666
mmmu,gemini-2.5-pro,MLflow,faithfulness,4.0,10,11.584
mmmu,gemini-2.5-pro,MLflow,llm_judge,0.85,10,11.584
mmmu,gemini-2.5-pro,RAGAS,faithfulness,0.3454,9,597.522
mmmu,gemini-2.5-pro,RAGAS,llm_judge,0.2,10,597.522
mmmu,gpt-4o,Arize,faithfulness,0.75,10,1.975
mmmu,gpt-4o,Arize,llm_judge,0.8,10,1.975
mmmu,gpt-4o,DeepEval,faithfulness,1.0,10,13.343
mmmu,gpt-4o,DeepEval,llm_judge,0.0,10,13.343
mmmu,gpt-4o,MLflow,faithfulness,2.9,10,11.64
mmmu,gpt-4o,MLflow,llm_judge,0.0,10,11.64
mmmu,gpt-4o,RAGAS,faithfulness,0.7711,10,39.722
mmmu,gpt-4o,RAGAS,llm_judge,0.4,10,39.722
swe-bench-verified,claude-sonnet-4,Arize,llm_judge,1.0,10,1.217
swe-bench-verified,claude-sonnet-4,DeepEval,llm_judge,0.65,10,3.254
swe-bench-verified,claude-sonnet-4,MLflow,llm_judge,0.6,10,2.865
swe-bench-verified,claude-sonnet-4,RAGAS,llm_judge,0.6,10,4.021
swe-bench-verified,gemini-2.5-pro,Arize,llm_judge,0.9,10,1.079
swe-bench-verified,gemini-2.5-pro,DeepEval,llm_judge,0.0,10,3.126
swe-bench-verified,gemini-2.5-pro,MLflow,llm_judge,0.0,10,2.906
swe-bench-verified,gemini-2.5-pro,RAGAS,llm_judge,0.3,10,3.881
swe-bench-verified,gpt-4o,Arize,llm_judge,1.0,10,1.169
swe-bench-verified,gpt-4o,DeepEval,llm_judge,0.0,10,4.606
swe-bench-verified,gpt-4o,MLflow,llm_judge,0.0,10,2.327
swe-bench-verified,gpt-4o,RAGAS,llm_judge,0.4,10,5.507
